PMID:22632727,PMCID:PMC3528177
PMID:4894690,PMCID:PMC223628
PMID:11432815,PMCID:PMC88991
PMID:15395569,PMCID:PMC2135948
PMID:12574416,PMCID:PMC6741934
PMID:11595185
PMID:2444978,PMCID:PMC299269
PMID:537913,PMCID:PMC342353
PMID:9384571,PMCID:PMC1170295
PMID:4379719,PMCID:PMC300531
PMID:2911585,PMCID:PMC286411
PMID:23486063,PMCID:PMC7095326
PMID:18570871,PMCID:PMC2478643
PMID:5224561,PMCID:PMC2138258
PMID:10444591,PMCID:PMC316920
PMID:18674809,PMCID:PMC2706130
PMID:24270007,PMCID:PMC4219254
PMID:14018772,PMCID:PMC2106152
PMID:21307942,PMCID:PMC3073508
PMID:9570797,PMCID:PMC6793169
PMID:19407794,PMCID:PMC2814168
PMID:21072242,PMCID:PMC2970556
PMID:15520857,PMCID:PMC524225
PMID:12552133,PMCID:PMC298703
PMID:14016998,PMCID:PMC1366449
PMID:21947006,PMCID:PMC3203314
PMID:22258505,PMCID:PMC3518436
PMID:12981234,PMCID:PMC2147348
PMID:17256154,PMCID:PMC1915585
PMID:24776797,PMCID:PMC4154594
PMID:18381888,PMCID:PMC2732390
PMID:6492255,PMCID:PMC254539
PMID:20643828,PMCID:PMC2916139
PMID:3001650,PMCID:PMC318950
PMID:9634557,PMCID:PMC6792571
PMID:21597473,PMCID:PMC4281487
PMID:8627365,PMCID:PMC6579137
PMID:15562321,PMCID:PMC532393
PMID:9312182,PMCID:PMC508367
PMID:18923184,PMCID:PMC2899688
PMID:23930179,PMCID:PMC3733029
PMID:17964077,PMCID:PMC2823483
PMID:19962669,PMCID:PMC2791543
PMID:19176826,PMCID:PMC6665147
PMID:8996253,PMCID:PMC2196098
PMID:11827954,PMCID:PMC155271
PMID:8990192,PMCID:PMC19300
PMID:19607790,PMCID:PMC2751885
PMID:8755496,PMCID:PMC38767
PMID:18362358,PMCID:PMC2278188
PMID:16618811,PMCID:PMC2063811
PMID:29055040,PMCID:PMC5650667
PMID:21248167,PMCID:PMC3051404
PMID:19465773,PMCID:PMC2685735
PMID:1928105,PMCID:PMC1683246
PMID:2881513
PMID:15509747,PMCID:PMC6730138
PMID:11964265,PMCID:PMC1302067
PMID:24727982,PMCID:PMC4096908
PMID:4956900,PMCID:PMC440999
PMID:20510927,PMCID:PMC2982146
PMID:1314954,PMCID:PMC364405
PMID:10891486,PMCID:PMC85997
PMID:9665460,PMCID:PMC1852950
PMID:13471458,PMCID:PMC180898
PMID:18765787,PMCID:PMC2749675
PMID:20231381,PMCID:PMC2845077
PMID:10027389,PMCID:PMC1850003
PMID:11160159,PMCID:PMC199188
PMID:11943137,PMCID:PMC3971841
PMID:12427869,PMCID:PMC2173073
PMID:16195464,PMCID:PMC2856689
PMID:14612427,PMCID:PMC262682
PMID:2464001,PMCID:PMC303718
PMID:9588877,PMCID:PMC1858578
PMID:8675663,PMCID:PMC186003
PMID:13877961,PMCID:PMC285509
PMID:25517383,PMCID:PMC4340667
PMID:23292513,PMCID:PMC3573218
PMID:5966178,PMCID:PMC2106984
PMID:16775128,PMCID:PMC6674036
PMID:9463399,PMCID:PMC2212145
PMID:20181738,PMCID:PMC2844617
PMID:15485929,PMCID:PMC522266
PMID:28622506,PMCID:PMC5657247
PMID:4306045,PMCID:PMC285978
PMID:13084667
PMID:8114699,PMCID:PMC358520
PMID:8331734,PMCID:PMC237882
PMID:5323016,PMCID:PMC285814
PMID:4670656,PMCID:PMC444260
PMID:8643514,PMCID:PMC39390
PMID:3654968,PMCID:PMC442342
PMID:21215372,PMCID:PMC3050564
PMID:10637317,PMCID:PMC102554
PMID:19666516,PMCID:PMC2728999
PMID:2825170,PMCID:PMC299447
PMID:7535863,PMCID:PMC188965
PMID:13999115,PMCID:PMC441171
PMID:22272217,PMCID:PMC3263514
PMID:7624372,PMCID:PMC41474
PMID:12381668,PMCID:PMC187459
PMID:10487762,PMCID:PMC1171581
PMID:12756266,PMCID:PMC2193777
PMID:1480113,PMCID:PMC372892
PMID:8265660,PMCID:PMC48113
PMID:10202156,PMCID:PMC1171278
PMID:14559783,PMCID:PMC403766
PMID:14324529,PMCID:PMC221060
PMID:14224387,PMCID:PMC300396
PMID:18701920,PMCID:PMC2543051
PMID:7677168,PMCID:PMC1870966
PMID:9765395,PMCID:PMC110267
PMID:20614936,PMCID:PMC2916045
PMID:2539717,PMCID:PMC1715635
PMID:21147462,PMCID:PMC3016200
PMID:12060715,PMCID:PMC123182
PMID:17293857,PMCID:PMC2140234
PMID:11050120,PMCID:PMC6772742
PMID:2833828,PMCID:PMC2993427
PMID:22589709,PMCID:PMC3349722
PMID:1824873,PMCID:PMC50821
PMID:11121017,PMCID:PMC18875
PMID:10890912,PMCID:PMC26930
PMID:11463383,PMCID:PMC7129834
PMID:13940299,PMCID:PMC2106210
PMID:22909801,PMCID:PMC5632952
PMID:14701872,PMCID:PMC305254
PMID:15656780,PMCID:PMC7161905
PMID:16803956,PMCID:PMC1482837
PMID:16591084,PMCID:PMC299946
PMID:10841516,PMCID:PMC300848
PMID:5339288,PMCID:PMC220006
PMID:16166619,PMCID:PMC2662988
PMID:23416945,PMCID:PMC3591483
PMID:7507897,PMCID:PMC186147
PMID:8074510,PMCID:PMC201645
PMID:18936157,PMCID:PMC2612494
PMID:12695332,PMCID:PMC196053
PMID:19061985,PMCID:PMC2668101
PMID:18549780,PMCID:PMC2884387
PMID:7992835,PMCID:PMC1887491
PMID:6343827,PMCID:PMC281561
PMID:16081687,PMCID:PMC1895066
PMID:9889196,PMCID:PMC1171134
PMID:22479202,PMCID:PMC3315470
PMID:23628958,PMCID:PMC3826032
PMID:21123648,PMCID:PMC2994035
PMID:23835475,PMCID:PMC3731569
PMID:8892957,PMCID:PMC190906
